視差|  線形近似|  センサ比率|  角度比率
122 pixel | 712.412 mm |437.158 mm |437.158 mm
125 pixel | 695.305 mm |426.667 mm |426.667 mm
127 pixel | 684.35 mm |419.948 mm |419.948 mm
129 pixel | 673.735 mm |413.437 mm |413.437 mm
131 pixel | 663.443 mm |407.125 mm |407.125 mm
133 pixel | 653.462 mm |401.003 mm |401.003 mm
134 pixel | 648.582 mm |398.01 mm |398.01 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
140 pixel | 620.771 mm |380.952 mm |380.952 mm
139 pixel | 625.24 mm |383.693 mm |383.693 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
134 pixel | 648.582 mm |398.01 mm |398.01 mm
133 pixel | 653.462 mm |401.003 mm |401.003 mm
130 pixel | 668.55 mm |410.256 mm |410.256 mm
128 pixel | 679.001 mm |416.667 mm |416.667 mm
125 pixel | 695.305 mm |426.667 mm |426.667 mm
124 pixel | 700.915 mm |430.108 mm |430.108 mm
121 pixel | 718.302 mm |440.771 mm |440.771 mm
119 pixel | 730.38 mm |448.179 mm |448.179 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
117 pixel | 742.871 mm |455.84 mm |455.84 mm
115 pixel | 755.797 mm |463.768 mm |463.768 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
113 pixel | 769.18 mm |471.976 mm |471.976 mm
113 pixel | 769.18 mm |471.976 mm |471.976 mm
113 pixel | 769.18 mm |471.976 mm |471.976 mm
113 pixel | 769.18 mm |471.976 mm |471.976 mm
113 pixel | 769.18 mm |471.976 mm |471.976 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
117 pixel | 742.871 mm |455.84 mm |455.84 mm
119 pixel | 730.38 mm |448.179 mm |448.179 mm
122 pixel | 712.412 mm |437.158 mm |437.158 mm
123 pixel | 706.617 mm |433.604 mm |433.604 mm
126 pixel | 689.784 mm |423.28 mm |423.28 mm
128 pixel | 679.001 mm |416.667 mm |416.667 mm
129 pixel | 673.735 mm |413.437 mm |413.437 mm
131 pixel | 663.443 mm |407.125 mm |407.125 mm
133 pixel | 653.462 mm |401.003 mm |401.003 mm
135 pixel | 643.776 mm |395.062 mm |395.062 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
139 pixel | 625.24 mm |383.693 mm |383.693 mm
139 pixel | 625.24 mm |383.693 mm |383.693 mm
139 pixel | 625.24 mm |383.693 mm |383.693 mm
139 pixel | 625.24 mm |383.693 mm |383.693 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
135 pixel | 643.776 mm |395.062 mm |395.062 mm
133 pixel | 653.462 mm |401.003 mm |401.003 mm
131 pixel | 663.443 mm |407.125 mm |407.125 mm
129 pixel | 673.735 mm |413.437 mm |413.437 mm
126 pixel | 689.784 mm |423.28 mm |423.28 mm
125 pixel | 695.305 mm |426.667 mm |426.667 mm
122 pixel | 712.412 mm |437.158 mm |437.158 mm
119 pixel | 730.38 mm |448.179 mm |448.179 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
121 pixel | 718.302 mm |440.771 mm |440.771 mm
122 pixel | 712.412 mm |437.158 mm |437.158 mm
125 pixel | 695.305 mm |426.667 mm |426.667 mm
125 pixel | 695.305 mm |426.667 mm |426.667 mm
128 pixel | 679.001 mm |416.667 mm |416.667 mm
130 pixel | 668.55 mm |410.256 mm |410.256 mm
131 pixel | 663.443 mm |407.125 mm |407.125 mm
133 pixel | 653.462 mm |401.003 mm |401.003 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
139 pixel | 625.24 mm |383.693 mm |383.693 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
133 pixel | 653.462 mm |401.003 mm |401.003 mm
132 pixel | 658.415 mm |404.04 mm |404.04 mm
130 pixel | 668.55 mm |410.256 mm |410.256 mm
128 pixel | 679.001 mm |416.667 mm |416.667 mm
126 pixel | 689.784 mm |423.28 mm |423.28 mm
124 pixel | 700.915 mm |430.108 mm |430.108 mm
122 pixel | 712.412 mm |437.158 mm |437.158 mm
120 pixel | 724.291 mm |444.444 mm |444.444 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
117 pixel | 742.871 mm |455.84 mm |455.84 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
115 pixel | 755.797 mm |463.768 mm |463.768 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
113 pixel | 769.18 mm |471.976 mm |471.976 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
115 pixel | 755.797 mm |463.768 mm |463.768 mm
117 pixel | 742.871 mm |455.84 mm |455.84 mm
117 pixel | 742.871 mm |455.84 mm |455.84 mm
120 pixel | 724.291 mm |444.444 mm |444.444 mm
121 pixel | 718.302 mm |440.771 mm |440.771 mm
123 pixel | 706.617 mm |433.604 mm |433.604 mm
125 pixel | 695.305 mm |426.667 mm |426.667 mm
127 pixel | 684.35 mm |419.948 mm |419.948 mm
129 pixel | 673.735 mm |413.437 mm |413.437 mm
130 pixel | 668.55 mm |410.256 mm |410.256 mm
132 pixel | 658.415 mm |404.04 mm |404.04 mm
134 pixel | 648.582 mm |398.01 mm |398.01 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
139 pixel | 625.24 mm |383.693 mm |383.693 mm
139 pixel | 625.24 mm |383.693 mm |383.693 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
135 pixel | 643.776 mm |395.062 mm |395.062 mm
133 pixel | 653.462 mm |401.003 mm |401.003 mm
131 pixel | 663.443 mm |407.125 mm |407.125 mm
130 pixel | 668.55 mm |410.256 mm |410.256 mm
127 pixel | 684.35 mm |419.948 mm |419.948 mm
126 pixel | 689.784 mm |423.28 mm |423.28 mm
124 pixel | 700.915 mm |430.108 mm |430.108 mm
122 pixel | 712.412 mm |437.158 mm |437.158 mm
120 pixel | 724.291 mm |444.444 mm |444.444 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
115 pixel | 755.797 mm |463.768 mm |463.768 mm
114 pixel | 762.43 mm |467.836 mm |467.836 mm
113 pixel | 769.18 mm |471.976 mm |471.976 mm
113 pixel | 769.18 mm |471.976 mm |471.976 mm
115 pixel | 755.797 mm |463.768 mm |463.768 mm
115 pixel | 755.797 mm |463.768 mm |463.768 mm
116 pixel | 749.278 mm |459.77 mm |459.77 mm
117 pixel | 742.871 mm |455.84 mm |455.84 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
118 pixel | 736.573 mm |451.977 mm |451.977 mm
121 pixel | 718.302 mm |440.771 mm |440.771 mm
122 pixel | 712.412 mm |437.158 mm |437.158 mm
125 pixel | 695.305 mm |426.667 mm |426.667 mm
127 pixel | 684.35 mm |419.948 mm |419.948 mm
128 pixel | 679.001 mm |416.667 mm |416.667 mm
131 pixel | 663.443 mm |407.125 mm |407.125 mm
132 pixel | 658.415 mm |404.04 mm |404.04 mm
134 pixel | 648.582 mm |398.01 mm |398.01 mm
135 pixel | 643.776 mm |395.062 mm |395.062 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
138 pixel | 629.773 mm |386.473 mm |386.473 mm
137 pixel | 634.372 mm |389.294 mm |389.294 mm
136 pixel | 639.039 mm |392.157 mm |392.157 mm
134 pixel | 648.582 mm |398.01 mm |398.01 mm
132 pixel | 658.415 mm |404.04 mm |404.04 mm
